Date,Door,Device ID,Device,User Group,User,Event
2022-07-06 22:53:17,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82310,1:N authentication succeeded (Face)
2022-07-06 22:32:27,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1218,1:N authentication succeeded (Face)
2022-07-06 22:32:06,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Tamper off
2022-07-06 22:32:04,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device started
2022-07-06 22:32:04,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Network connected
2022-07-06 16:38:29,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
2022-07-06 16:37:34,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar disconnected
2022-07-06 16:36:23,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
2022-07-06 16:36:18,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
2022-07-06 16:36:11,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Authentication failed (Timeout)
2022-07-06 12:39:38,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
2022-07-06 12:21:26,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
2022-07-06 12:14:53,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
2022-07-06 11:36:58,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
2022-07-06 11:01:18,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
2022-07-06 10:03:55,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
2022-07-06 09:34:38,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
2022-07-06 08:01:48,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82275,1:N authentication succeeded (Face)
2022-07-06 07:56:31,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82283,1:N authentication succeeded (Face)
2022-07-06 07:18:44,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82308,1:N authentication succeeded (Face)
2022-07-06 07:10:48,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82297,1:N authentication succeeded (Face)
2022-07-06 07:07:43,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
2022-07-06 07:05:42,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1255,1:N authentication succeeded (Face)
2022-07-06 07:05:29,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
2022-07-06 07:05:24,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1218,1:N authentication succeeded (Face)
2022-07-06 07:05:20,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82310,1:N authentication succeeded (Face)
2022-07-06 07:04:13,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82302,1:N authentication succeeded (Face)
2022-07-06 07:02:09,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
2022-07-06 06:56:40,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1214,1:N authentication succeeded (Face)
2022-07-06 06:56:36,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82312,1:N authentication succeeded (Face)
2022-07-06 01:55:26,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
2022-07-06 01:26:15,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
2022-07-05 23:09:39,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82322,1:N authentication succeeded (Face)
2022-07-05 23:09:36,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1255,1:N authentication succeeded (Face)
2022-07-05 22:58:34,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82308,1:N authentication succeeded (Face)
2022-07-05 22:58:27,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82310,1:N authentication succeeded (Face)
2022-07-05 22:40:55,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1218,1:N authentication succeeded (Face)
2022-07-05 22:40:39,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1(Administrator),User update succeeded
2022-07-05 22:40:39,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar connected
2022-07-05 22:40:33,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Tamper off
2022-07-05 22:40:31,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device started
2022-07-05 22:40:31,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Network connected
2022-07-05 16:53:33,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device Disconnection Detected
2022-07-05 16:38:48,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
2022-07-05 16:38:44,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82309,1:N authentication succeeded (Face)
2022-07-05 16:38:38,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82296,1:N authentication succeeded (Face)
2022-07-05 15:13:20,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,96333,1:N authentication succeeded (Face)
2022-07-05 15:13:04,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,82313,1:N authentication succeeded (Face)
2022-07-05 15:12:52,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Authentication failed (Timeout)
2022-07-05 15:12:47,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1(Administrator),User update succeeded
2022-07-05 15:12:31,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,96333,1:N authentication succeeded (Face)
2022-07-05 15:12:24,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,96333,User enrollment succeeded
2022-07-05 15:11:46,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1(Administrator),User update succeeded
2022-07-05 15:11:39,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Authentication failed (Timeout)
2022-07-05 15:11:37,,542361075,FaceStation 2 542361075 (192.168.5.220),All Users,1(Administrator),User update succeeded
2022-07-05 15:11:37,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar connected
2022-07-05 15:11:00,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Authentication failed (Timeout)
2022-07-05 15:09:54,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Tamper off
2022-07-05 15:09:54,,542361075,FaceStation 2 542361075 (192.168.5.220),,,DHCP connected
2022-07-05 15:09:53,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device started
2022-07-05 15:09:52,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Network connected
2022-07-05 15:09:21,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar disconnected
2022-07-05 15:09:19,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device restarted
2022-07-05 15:09:17,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device Disconnection Detected
2022-07-05 15:09:16,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Device reset
2022-07-04 12:35:03,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar disconnected
2022-07-04 12:34:50,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar disconnected
2022-07-04 12:34:24,,542361075,FaceStation 2 542361075 (192.168.5.220),,,BioStar disconnected
2022-07-04 12:33:33,,542361075,FaceStation 2 542361075 (192.168.5.220),,,Network disconnected
