Fecha	Puertas	ID Dispositivo	Dispositivos	Grupo Usuario	Usuarios	Evento
25/01/2024 07:44		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1(Administrator)	Actualización Usuario exitoso
25/01/2024 07:44		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar conectado
25/01/2024 07:43		542361075	FaceStation 2 542361075 (192.168.1.220)			Se detectó desconexión del dispositivo
25/01/2024 07:41		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	143	1:N Autenticación exitosa (Rostro)
25/01/2024 07:41		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	142	1:N Autenticación exitosa (Rostro)
25/01/2024 07:41		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	135	1:N Autenticación exitosa (Rostro)
25/01/2024 07:41		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	34	1:N Autenticación exitosa (Rostro)
25/01/2024 07:41		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	9	1:N Autenticación exitosa (Rostro)
25/01/2024 07:41		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	183	Actualización Usuario exitoso
25/01/2024 07:40		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	183	Enrolado de usuario exitoso
25/01/2024 07:40		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar desconectado
25/01/2024 07:39		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	176	1:N Autenticación exitosa (Rostro)
25/01/2024 07:37		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	117	1:N Autenticación exitosa (Rostro)
25/01/2024 07:37		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	51	1:N Autenticación exitosa (Rostro)
25/01/2024 07:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	116	1:N Autenticación exitosa (Rostro)
25/01/2024 07:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	3	1:N Autenticación exitosa (Rostro)
25/01/2024 07:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	89	1:N Autenticación exitosa (Rostro)
25/01/2024 07:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	29	1:N Autenticación exitosa (Rostro)
25/01/2024 07:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	173	1:N Autenticación exitosa (Rostro)
25/01/2024 07:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	74	1:N Autenticación exitosa (Rostro)
25/01/2024 07:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1255	1:N Autenticación exitosa (Rostro)
25/01/2024 07:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	181	1:N Autenticación exitosa (Rostro)
25/01/2024 07:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	181	Actualización Usuario exitoso
25/01/2024 07:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	181	Enrolado de usuario exitoso
25/01/2024 07:33		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar desconectado
25/01/2024 07:32		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	71	1:N Autenticación exitosa (Rostro)
25/01/2024 07:32		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	14	1:N Autenticación exitosa (Rostro)
25/01/2024 07:32		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	137	1:N Autenticación exitosa (Rostro)
25/01/2024 07:32		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	180	1:N Autenticación exitosa (Rostro)
25/01/2024 07:31		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	180	Actualización Usuario exitoso
25/01/2024 07:30		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	108	1:N Autenticación exitosa (Rostro)
25/01/2024 07:30		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	149	1:N Autenticación exitosa (Rostro)
25/01/2024 07:30		542361075	FaceStation 2 542361075 (192.168.1.220)			Biostar desconectado
25/01/2024 07:29		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	180	Enrolado de usuario exitoso
25/01/2024 07:29		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	19	1:N Autenticación exitosa (Rostro)
25/01/2024 07:29		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	8	1:N Autenticación exitosa (Rostro)
25/01/2024 07:28		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	120	1:N Autenticación exitosa (Rostro)
25/01/2024 07:28		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	111	1:N Autenticación exitosa (Rostro)
25/01/2024 07:27		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	167	1:N Autenticación exitosa (Rostro)
25/01/2024 07:27		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	95	1:N Autenticación exitosa (Rostro)
25/01/2024 07:27		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	145	1:N Autenticación exitosa (Rostro)
25/01/2024 07:27		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	141	1:N Autenticación exitosa (Rostro)
25/01/2024 07:27		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	166	1:N Autenticación exitosa (Rostro)
25/01/2024 07:23		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	39	1:N Autenticación exitosa (Rostro)
25/01/2024 07:23		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	64	1:N Autenticación exitosa (Rostro)
25/01/2024 07:22		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	146	1:N Autenticación exitosa (Rostro)
25/01/2024 07:22		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	59	1:N Autenticación exitosa (Rostro)
25/01/2024 07:22		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	58	1:N Autenticación exitosa (Rostro)
25/01/2024 07:20		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	2	1:N Autenticación exitosa (Rostro)
25/01/2024 07:19		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	73	1:N Autenticación exitosa (Rostro)
25/01/2024 07:15		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	150	1:N Autenticación exitosa (Rostro)
25/01/2024 07:15		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	26	1:N Autenticación exitosa (Rostro)
25/01/2024 06:55		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	172	1:N Autenticación exitosa (Rostro)
25/01/2024 06:55		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	172	1:N Autenticación exitosa (Rostro)
25/01/2024 05:25		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	142	1:N Autenticación exitosa (Rostro)
25/01/2024 04:50		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	142	1:N Autenticación exitosa (Rostro)
25/01/2024 04:49		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	94	1:N Autenticación exitosa (Rostro)
25/01/2024 04:49		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	45	1:N Autenticación exitosa (Rostro)
25/01/2024 04:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	158	1:N Autenticación exitosa (Rostro)
25/01/2024 04:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	159	1:N Autenticación exitosa (Rostro)
25/01/2024 04:26		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	9	1:N Autenticación exitosa (Rostro)
25/01/2024 04:25		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	143	1:N Autenticación exitosa (Rostro)
25/01/2024 04:18		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	94	1:N Autenticación exitosa (Rostro)
25/01/2024 04:18		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	45	1:N Autenticación exitosa (Rostro)
25/01/2024 04:03		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	14	1:N Autenticación exitosa (Rostro)
25/01/2024 04:02		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	143	1:N Autenticación exitosa (Rostro)
25/01/2024 03:59		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	158	1:N Autenticación exitosa (Rostro)
25/01/2024 03:57		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	159	1:N Autenticación exitosa (Rostro)
25/01/2024 03:56		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	9	1:N Autenticación exitosa (Rostro)
25/01/2024 03:37		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	14	1:N Autenticación exitosa (Rostro)
25/01/2024 03:37		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	116	1:N Autenticación exitosa (Rostro)
25/01/2024 03:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	176	1:N Autenticación exitosa (Rostro)
25/01/2024 03:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	117	1:N Autenticación exitosa (Rostro)
25/01/2024 03:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	137	1:N Autenticación exitosa (Rostro)
25/01/2024 03:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	135	1:N Autenticación exitosa (Rostro)
25/01/2024 03:11		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	162	1:N Autenticación exitosa (Rostro)
25/01/2024 03:02		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	116	1:N Autenticación exitosa (Rostro)
25/01/2024 03:01		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	176	1:N Autenticación exitosa (Rostro)
25/01/2024 03:00		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	137	1:N Autenticación exitosa (Rostro)
25/01/2024 03:00		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	117	1:N Autenticación exitosa (Rostro)
25/01/2024 03:00		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1255	1:N Autenticación exitosa (Rostro)
25/01/2024 02:58		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	140	1:N Autenticación exitosa (Rostro)
25/01/2024 02:45		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	162	1:N Autenticación exitosa (Rostro)
25/01/2024 02:32		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	1255	1:N Autenticación exitosa (Rostro)
25/01/2024 02:32		542361075	FaceStation 2 542361075 (192.168.1.220)			Autenticación fallida (Timeout)
25/01/2024 02:30		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	140	1:N Autenticación exitosa (Rostro)
25/01/2024 02:09		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	29	1:N Autenticación exitosa (Rostro)
25/01/2024 02:09		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	74	1:N Autenticación exitosa (Rostro)
25/01/2024 01:38		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	29	1:N Autenticación exitosa (Rostro)
25/01/2024 01:38		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	74	1:N Autenticación exitosa (Rostro)
24/01/2024 23:47		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	116	1:N Autenticación exitosa (Rostro)
24/01/2024 23:40		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	7	1:N Autenticación exitosa (Rostro)
24/01/2024 23:39		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	107	1:N Autenticación exitosa (Rostro)
24/01/2024 23:39		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	28	1:N Autenticación exitosa (Rostro)
24/01/2024 23:39		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	81	1:N Autenticación exitosa (Rostro)
24/01/2024 23:38		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	37	1:N Autenticación exitosa (Rostro)
24/01/2024 23:38		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	177	1:N Autenticación exitosa (Rostro)
24/01/2024 23:38		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	75	1:N Autenticación exitosa (Rostro)
24/01/2024 23:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	32	1:N Autenticación exitosa (Rostro)
24/01/2024 23:36		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	91	1:N Autenticación exitosa (Rostro)
24/01/2024 23:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	170	1:N Autenticación exitosa (Rostro)
24/01/2024 23:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	27	1:N Autenticación exitosa (Rostro)
24/01/2024 23:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	168	1:N Autenticación exitosa (Rostro)
24/01/2024 23:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	72	1:N Autenticación exitosa (Rostro)
24/01/2024 23:35		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	138	1:N Autenticación exitosa (Rostro)
24/01/2024 23:34		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	30	1:N Autenticación exitosa (Rostro)
24/01/2024 23:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	140	1:N Autenticación exitosa (Rostro)
24/01/2024 23:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	158	1:N Autenticación exitosa (Rostro)
24/01/2024 23:33		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	159	1:N Autenticación exitosa (Rostro)
24/01/2024 23:32		542361075	FaceStation 2 542361075 (192.168.1.220)	All Users	147	1:N Autenticación exitosa (Rostro)
