Date,Door,Device ID,Device,User Group,User,Event
2/7/2019  18:15:19 PM,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,102300,1:N authentication succeeded (Face)
2/7/2019 15:14,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,90570,1:N authentication succeeded (Face)
2/7/2019 15:13,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,67868,1:N authentication succeeded (Face)
2/7/2019 15:13,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,101984,1:N authentication succeeded (Face)
2/7/2019 15:13,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,85249,1:N authentication succeeded (Face)
2/7/2019 15:13,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,11811,1:N authentication succeeded (Face)
2/7/2019 15:13,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,90560,1:N authentication succeeded (Face)
2/7/2019 15:13,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,67531,1:N authentication succeeded (Face)
2/7/2019 15:11,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,86759,1:N authentication succeeded (Face)
2/7/2019 15:11,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,99001,1:N authentication succeeded (Face)
2/7/2019 15:10,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,92736,1:N authentication succeeded (Face)
2/7/2019 15:09,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,110470,1:N authentication succeeded (Face)
2/7/2019 15:09,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,101384,1:N authentication succeeded (Face)
2/7/2019 15:09,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,110626,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,32698,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,48004,1:N authentication succeeded (Face)
2/7/2019 15:08,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,81156,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,99968,1:N authentication succeeded (Face)
2/7/2019 15:08,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,66827,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102944,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,103621,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2/7/2019 15:08,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,48631,1:N authentication succeeded (Face)
2/7/2019 15:08,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,88894,1:N authentication succeeded (Face)
2/7/2019 15:08,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2/7/2019 15:08,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2/7/2019 15:08,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,1(Administrator),User update succeeded
2/7/2019 15:07,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,1(Administrator),User update succeeded
2/7/2019 15:07,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,103620,1:N authentication succeeded (Face)
2/7/2019 15:07,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,86552,1:N authentication succeeded (Face)
2/7/2019 15:07,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,198,1:N authentication succeeded (Face)
2/7/2019 15:07,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,84837,1:N authentication succeeded (Face)
2/7/2019 15:07,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2/7/2019 15:07,,542189346,FaceStation 2 542189346 (192.168.128.224),,,BioStar connected
2/7/2019 15:07,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
