Date,Door,Device ID,Device,User Group,User,Event
2019-04-01 16:36:14,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,110454,1:N authentication succeeded (Face)
2019-04-01 16:36:13,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90699,1:N authentication succeeded (Face)
2019-04-01 16:36:10,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,98998,1:N authentication succeeded (Face)
2019-04-01 16:36:10,,542189843,FaceStation 2 542189843 (192.168.128.17),,,Authentication failed (Timeout)
2019-04-01 16:36:10,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,95071,1:N authentication succeeded (Face)
2019-04-01 16:36:09,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,65302,1:N authentication succeeded (Face)
2019-04-01 16:36:07,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,85792,1:N authentication succeeded (Face)
2019-04-01 16:36:06,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,86868,1:N authentication succeeded (Face)
2019-04-01 16:36:06,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,93627,1:N authentication succeeded (Face)
2019-04-01 16:36:03,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,2535,1:N authentication succeeded (Face)
2019-04-01 16:36:03,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,86868,1:N authentication succeeded (Face)
2019-04-01 16:36:03,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,106911,1:N authentication succeeded (Face)
2019-04-01 16:36:02,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,100258,1:N authentication succeeded (Face)
2019-04-01 16:36:02,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,88268,1:N authentication succeeded (Face)
2019-04-01 16:35:58,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,94950,1:N authentication succeeded (Face)
2019-04-01 16:35:54,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,3841,1:N authentication succeeded (Face)
2019-04-01 16:35:28,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,100091,1:N authentication succeeded (Face)
2019-04-01 16:35:27,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,103271,1:N authentication succeeded (Face)
2019-04-01 16:35:19,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,90129,1:N authentication succeeded (Face)
2019-04-01 16:35:17,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,110532,1:N authentication succeeded (Face)
2019-04-01 16:35:13,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,98430,1:N authentication succeeded (Face)
2019-04-01 16:35:10,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,99334,1:N authentication succeeded (Face)
