Date,Door,Device ID,Device,User Group,User,Event
2019-02-08 16:20:24,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2019-02-08 16:20:24,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,1(Administrator),User update succeeded
2019-02-08 16:20:22,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,1(Administrator),User update succeeded
2019-02-08 16:20:17,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,1(Administrator),User update succeeded
2019-02-08 16:20:17,,542189346,FaceStation 2 542189346 (192.168.128.224),,,BioStar connected
2019-02-08 16:20:15,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,1(Administrator),User update succeeded
2019-02-08 16:20:14,,542189344,FaceStation 2 542189344 (192.168.128.16),,,BioStar connected
2019-02-08 16:20:12,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,1(Administrator),User update succeeded
2019-02-08 16:20:11,,542189843,FaceStation 2 542189843 (192.168.128.17),,,BioStar connected
2019-02-08 16:20:02,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,1(Administrator),User update succeeded
2019-02-08 16:19:58,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,1(Administrator),User update succeeded
2019-02-08 16:19:56,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,1(Administrator),User update succeeded
2019-02-08 16:19:54,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,1(Administrator),User update succeeded
2019-02-08 16:19:53,,542340160,FaceStation 2 542340160 (192.168.128.9),,,BioStar connected
2019-02-08 16:19:51,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,1(Administrator),User update succeeded
2019-02-08 16:19:50,,542340161,FaceStation 2 542340161 (192.168.128.8),,,BioStar connected
2019-02-08 16:19:46,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,1(Administrator),User update succeeded
2019-02-08 16:19:46,,542189366,FaceStation 2 542189366 (192.168.128.22),,,BioStar connected
2019-02-08 16:19:18,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,87411,1:N authentication succeeded (Face)
2019-02-08 16:16:34,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90458,1:N authentication succeeded (Face)
