Fecha	ID Dispositivo	Dispositivo	Grupo Usuario	Usuario	Evento
16/12/2019 17:39	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	1037	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	954	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119463	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185233	FaceStation 2 542185233 (192.168.1.203)	All Users	116948	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	116355	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119276	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	116486	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185233	FaceStation 2 542185233 (192.168.1.203)	All Users	116615	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119404	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118039	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	68758	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119062	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	33988	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119292	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185233	FaceStation 2 542185233 (192.168.1.203)	All Users	118387	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119602	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	117305	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185233	FaceStation 2 542185233 (192.168.1.203)	All Users	118699	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118767	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:39	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	50462	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	68301	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	1615	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	118722	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	184	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119653	1:N Autenticaciￃﾳn exitosa (Rostro)
